rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.189294  936.476   96198.1   801.377   84.3986   990.845   1120.44   10693.6   200.109   
0.181434  525.721   89500.2   786.632   82.3497   918.236   1120.38   12587.3   150.216   
0.198291  23.1756   89695.4   736.792   83.1609   926.125   1120.23   10685.5   220.714   
0.196729  33.9276   89830.9   811.758   78.5876   934.379   1120.59   12852.6   168.546   
0.183407  286.174   82153.8   700.392   89.5181   883.2     1120.26   12494.8   212.197   
0.198374  2275.35   78751.5   752.381   76.1189   868.938   1120.07   12865.6   161.044   
0.187494  213.944   96973.8   736.877   105.066   871.814   1120.35   10806.1   142.122   
0.197898  245.132   91429     801.032   99.3493   917.158   1120.01   11481.4   144.385   
0.184595  119.239   91828.6   793.4     95.4464   971.293   1120.54   11841.6   198.818   
0.183732  6.98615   86601.2   721.613   83.3735   826.89    1120.1    10629.3   105.214   
0.187715  595.761   100906    730.351   84.386    892.27    1120.12   10543     166.079   
0.185929  809.286   96279.4   779.2     83.532    911.146   1120.33   12496.7   156.806   
0.177361  100.32    106532    800.65    97.1574   925.38    1120.01   11570.8   126.006   
0.197451  1121.57   95631     704.966   94.3257   868.616   1121.75   12976.8   227.177   
0.199731  452.284   95904.1   803.125   79.9196   1001.51   1120.77   11578     251.819   
0.195941  5.38702   97075.8   818.98    94.6088   1016.72   1120.11   12933.7   273.268   
0.19768   3.45488   84008.5   711.219   93.9644   866.787   1120.83   12247.3   207.337   
0.19736   8.77905   85173     804.576   101.301   928.124   1120.02   10488.9   140.622   
0.19943   678.665   81679.8   701.357   91.847    807.529   1121.18   9729.12   113.383   
0.189913  580.996   104733    800.249   83.3603   932.974   1120.25   11608.1   153.076   
0.198088  109.156   85224.1   813.563   83.2249   981.161   1120.39   12177     220.97    
0.197217  98.534    76778.1   819.334   85.2662   1011.08   1121.6    11570.6   238.212   
0.193176  24.7785   88910.2   770.528   97.6217   925.79    1120.11   10252.7   165.205   
0.198542  94.8245   86025.2   706.048   95.9265   870.718   1120.59   9793.83   176.274   
0.184626  442.142   85821.8   763.165   97.7311   866.97    1120.01   11117.1   108.869   
0.193372  132.807   78162.6   811.485   84.5175   972.589   1120.37   11034.4   183.776   
0.17608   234.13    71116.5   700.902   67.4859   807.711   1120.33   10953.3   100.094   
0.194281  90.9063   92893.5   777.886   107.342   881.846   1120.72   11600     126.182   
0.193794  152.127   90692.8   700.934   95.182    814.518   1120.05   12793     150.801   
0.190873  62.039    71939.8   724.821   83.6636   920.916   1120.62   11968.8   236.532   
0.193019  146.414   90810.5   705.008   82.2676   901.783   1120.52   12860     259.845   
0.1938    133.476   99807.5   760.101   92.0654   880.265   1120.17   10444.3   130.574   
0.193001  0.507577  93460.1   810.796   86.5522   926.756   1120.48   11816.7   142.797   
0.190124  281.024   81677.9   817.127   89.9104   1012.42   1120.12   12476.9   243.056   
0.186485  212.41    85529.6   731.215   87.5462   880.935   1120.06   12110.9   174.234   
0.193999  212.019   93939.4   815.128   76.3095   991.23    1120.02   11948.7   218.111   
0.195295  24.6631   92077.1   741.345   89.7492   920.219   1120.57   11390.6   215.608   
0.179468  9.28992   91769.4   815.812   84.0663   1009.46   1120.62   11833.3   205.272   
0.197375  124.633   70999.8   760.225   82.9641   895.466   1120.87   10202.8   148.613   
0.193628  334.772   88796.9   715.981   96.6704   865.594   1120.19   11134.7   172.678   
0.197588  1412.22   82883     795.739   82.0243   964.191   1120.28   10669.3   192.886   
0.194196  4.01867   78205.1   774.297   94.7621   936.917   1120.05   12293.3   210.07    
0.197626  185.377   89613.8   758.343   72.6419   888.068   1120.33   9865.31   137.923   
0.19975   110.936   82173.7   810.191   90.0299   953.052   1120.24   10037.5   158.464   
0.195847  46.3925   79138.6   766.717   88.4653   937.49    1120.34   9518.76   173.092   
