sigma_e   rw        r         Tu        Tl        L         Kw        
2.11342   0.155116  9183.22   67554.8   89.0692   1638.28   10127.8   
2.04248   0.149563  4.69613   111038    79.8227   1173.15   9825.11   
2.1898    0.17325   3.78338   62428.2   92.8132   1374.88   11190.2   
1.93958   0.161679  3738.19   73211.7   102.678   1656.67   10228     
2.03152   0.147319  3.21147   107318    99.5525   1530.31   9535.05   
1.91949   0.13626   51192.2   90109.9   81.7175   1151.65   12027.9   
1.93562   0.155037  6.88738   81306.7   105.947   1543.63   12196.8   
1.98261   0.155538  184.26    97117.7   85.8369   1569.64   12552.7   
2.04486   0.153307  4.70117   85975.5   71.1915   1165.32   11415.9   
2.30138   0.165136  1084.23   107419    68.6051   1356.57   10701.9   
2.15466   0.169745  144.944   107974    76.6573   1638.88   9748.73   
1.93921   0.15351   617.83    98300.8   99.9378   1459.96   10527.9   
2.10171   0.138696  60.9567   114355    108.156   1632.64   11148.9   
2.25622   0.171817  116.517   90377.1   69.2959   1355.39   10529.2   
1.94264   0.145404  40227     73479     78.0543   1539.76   9825.88   
1.94031   0.159494  28.8444   69032.9   81.5437   1199.21   10406.8   
2.03787   0.15897   10693.6   111380    91.8762   1418.96   10066.4   
1.8411    0.163505  34.4647   102754    63.312    1123.87   12449.5   
2.01156   0.166654  300.025   76378.4   69.5781   1272.3    9508.54   
2.24807   0.168474  76.495    76309.7   77.7079   1538      9912.58   
2.07104   0.141577  388.524   85504.6   70.0025   1619.43   10484.2   
2.05941   0.140562  2069.59   92897.9   96.6841   1669.62   11592.2   
2.2181    0.173318  1441.04   84963.2   96.91     1190.34   12215.7   
1.80394   0.169432  2084.49   88619.8   84.3045   1400.59   10824.4   
2.2485    0.154557  53796.8   70900.6   72.5427   1631.14   10333.6   
1.98868   0.151996  870.774   69861.4   83.9199   1615.25   9977.06   
2.15549   0.143468  10623.9   91012.8   71.9435   1494.53   10301.7   
1.97347   0.169154  1.37712   75262.3   112.594   1641.19   10377.9   
2.12313   0.180424  725.9     104003    87.2577   1544.34   12060.4   
2.22708   0.16148   0.908635  66183.6   92.1015   1625.13   9740.19   
1.91427   0.172974  6065.56   95908.1   72.627    1277.76   9935.24   
1.91206   0.141433  56.2479   109250    87.9306   1509.29   11173.5   
2.008     0.147847  20.3648   105360    111.165   1403      10983.5   
1.84308   0.148505  5.45532   81975.1   70.105    1436.92   11212.6   
