rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.101259  219.833   77904.7   701.82    79.1499   864.702   1425.83   11150.4   40.8713   
0.151136  8.7595    93970.1   702.843   102.06    889.417   1122.24   10114.1   120.171   
0.187004  62.8849   109008    739.142   100.161   849.097   1216.37   12629.7   124.118   
0.167646  20.3401   76039.4   745.96    79.3411   864.098   1636.82   9695.85   61.4789   
0.115344  8414.48   82336.7   708.077   86.7856   885.268   1244.08   10931.9   64.5898   
0.18592   113.344   84249.7   795.392   89.3946   956.106   1232.03   10007.6   140.347   
0.197347  24.7202   102195    734.836   84.2416   931.471   1237.91   11713.1   225.261   
0.184503  11812.6   93825.4   805.583   96.5843   944.316   1602.43   12788.4   116.59    
0.100747  13.7877   109587    700.518   97.4991   834.89    1601.26   11008.3   29.4047   
0.126606  2265.28   98923     742.685   91.0343   938.3     1240.24   12616     99.3304   
0.184184  988.009   78951.3   705.961   77.4774   904.177   1284.66   11969.6   193.435   
0.130885  171.118   96801     796.488   90.7882   899.414   1378.93   12476.1   49.8122   
0.142976  1724.15   101590    707.762   99.42     840.496   1144.18   10252.7   75.7272   
0.187378  1533.18   76633.6   789.912   84.2369   972.738   1428.36   10874.3   151.361   
0.195426  1.10009   103520    805.846   101.08    927.724   1293.51   11796.5   132.964   
0.127085  1464.69   88968.5   721.111   90.1335   837.171   1592.04   10527.7   38.7256   
0.113747  316.874   89945     805.882   84.495    990.442   1386.26   10641.2   57.3175   
0.115385  56.6244   75604.8   774.027   80.1718   959.316   1447.66   10499     55.9967   
0.107013  66.6411   91363.8   798.534   87.2146   919.686   1487.31   9598.22   28.0515   
0.134001  1498.34   84697.2   726.813   85.5121   831.912   1313.46   11990.1   53.6425   
0.130356  155.851   95527.7   700.387   100.901   869.357   1531.79   9864.66   57.8681   
0.112303  421.738   86815.7   703.558   74.1266   886.841   1538      9523.33   44.7723   
0.158356  177.766   95256.7   734.661   96.9725   871.777   1344.74   9861.5    78.6916   
0.188602  80.3431   95356.7   774.667   93.9143   933.428   1259.01   12578.2   175.237   
0.174912  238.14    104904    786.736   95.1786   894.528   1291.98   9558.96   76.0008   
0.186936  206.998   93352.4   744.537   93.4038   881.243   1236.58   9857.52   118.399   
0.15044   46.2632   79607.1   720.164   94.7478   904.861   1298.39   12042.6   121.032   
0.184626  21.9716   85894.8   783.935   79.4587   959.023   1249.7    10786.4   160.41    
0.179003  10.9645   74737.8   739.477   82.4924   864.196   1167.49   10397     111.013   
0.189705  156.25    84956.4   804.797   88.6364   932.219   1651.93   11438.1   98.8166   
0.16835   139.464   88286.7   704.094   81.2413   888.567   1527.09   10019.6   106.945   
0.165771  562.647   86641.5   780.021   97.4818   942.398   1173.7    9793.62   115.861   
0.115146  109.812   92797.1   733.866   100.724   844.445   1631.97   11321.7   31.8536   
0.141776  105.545   86983.7   790.768   73.9261   947.679   1567.95   12808.9   80.3549   
0.194894  8.36484   89083.3   793.701   94.5237   967.914   1370.62   10493.5   158.243   
0.187236  42.702    93396.3   722.909   94.2066   877.715   1420.66   11026.9   131.306   
0.183878  25.6792   74498.7   808.193   76.1773   955.948   1120.84   11939     165.247   
0.133526  84.2749   88200.5   808.728   93.0584   940.45    1428.41   10048.2   51.6756   
0.164925  592.19    70166.3   756.654   75.6924   873.853   1636.12   10902.8   66.0888   
0.124171  24.0723   78889.6   807.364   80.7074   988.393   1610.3    12941.1   70.1861   
0.198956  79.3468   82928.6   703.097   96.055    842.782   1242.79   12763.4   176.16    
0.149838  17.6877   108453    756.586   103.848   895.522   1633      10624.6   63.5444   
0.131363  36.0148   94586.9   804.091   81.8123   953.974   1386.61   12133.2   70.7328   
0.111442  251.205   97643.2   748.284   100.039   926.292   1371.55   12003.4   60.5287   
0.16942   29.7248   98412.7   723.642   97.8527   914.817   1196.66   11553.7   165.232   
0.19645   23.0046   87994.9   708.94    95.0115   847.704   1648.41   11031.5   111.865   
0.120832  60.8218   105958    708.488   89.9341   891.149   1272.4    12582.6   82.4413   
0.163801  17737.1   84005.8   711.002   80.7206   826.431   1384.38   10112.4   70.0846   
0.118466  30.1171   78117.6   804.364   88.3559   933.368   1506.02   12454.9   46.8668   
0.168833  1.97629   91598.5   741.5     95.1981   895.358   1178.23   9730.14   113.437   
0.176317  366.648   109143    811.443   87.2912   992.557   1441.38   12144.8   147.349   
0.150278  81.3562   92724.2   704.956   107.538   881.315   1632.55   9807.57   74.87     
0.172624  2.13747   89691     761.834   96.2351   929.888   1211.96   11243.2   145.424   
0.154672  1070.56   80713.5   796.06    98.8006   972.171   1488.35   12860.7   113.323   
0.119643  319.336   87392.2   815.87    92.3716   931.167   1330.06   10733.9   41.6379   
0.151461  14.4163   90033.5   767.29    82.3123   894.763   1226.4    9920.59   73.9342   
0.121498  763.727   82717.6   750.255   94.2183   856.927   1661.39   11062.5   32.7902   
0.163454  126.115   82353.4   773.119   81.3814   920.474   1131.49   12285.3   132.716   
0.112753  5.88059   85031.6   819.053   84.4863   1006.59   1644.82   12649.3   57.4722   
0.12075   28.7763   98330     767.643   91.7079   899.421   1286.11   11137.5   52.0761   
0.191267  701.326   107702    803.279   84.1649   918.131   1419.22   11758.6   107.77    
0.154614  3356.53   91076.2   741.271   93.2496   938.629   1232.38   12811.5   152.058   
0.144506  412.947   99458.5   792.679   93.3955   978.126   1129.52   12407.6   132.345   
0.199626  569.242   91220     803.005   87.2001   949.896   1418.47   11966.8   152.8     
0.12768   96.556    97078.5   807.347   83.9215   1000.95   1352.02   12665.5   92.3274   
0.136693  123.994   88676.1   715.514   82.9535   869.729   1411.77   11998.3   76.4369   
0.156103  1620.98   97344.9   807.799   107.049   986.33    1292.43   12498.7   130.839   
0.183994  136.004   83164.4   786.187   92.6237   917.551   1613.33   10099.7   86.8047   
0.133926  21.364    81874.4   799.54    81.9845   998.084   1564.96   10054     71.6179   
0.179911  6060.46   81611.8   736.797   83.2853   912.903   1622.14   12837.7   139.484   
0.105905  2.39387   92632.4   747.007   101.208   856.398   1237.49   11162.6   34.7146   
0.197088  66.3728   94508.2   727.468   105.91    858.837   1318.5    11752.9   141.551   
